,NLL VAE,NLL IWAE (k= 5),NLL IWAE (k= 50)
Dim. Z = 2,153.04239361228943,144.3316565547943,144.76664101142885
Dim. Z = 20,112.29262259597779,111.32572772789001,111.83934503707886
Dim. Z = 50,113.7780459651947,111.97106276245117,111.97794718208313
